152996,MDC_CONC_AWAY_AR_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
153000,MDC_CONC_AWAY_AR_EXP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
153004,MDC_CONC_AWAY_AR_INSP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
151700,MDC_CONC_AWAY_CO2,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
151708,MDC_CONC_AWAY_CO2_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
151712,MDC_CONC_AWAY_CO2_EXP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
153320,MDC_CONC_AWAY_CO2_EXP_PLATEAU_ALV_SLOPE,MDC_DIM_VOL_PERCENT_PER_L,%{vol}/L,MDC_DIM_MM_HG_PER_L,mm[Hg]/L,MDC_DIM_KILO_PASCAL_PER_L,kPa/L
151716,MDC_CONC_AWAY_CO2_INSP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
151718,MDC_CONC_AWAY_CO2_INSP_MIN,MDC_DIM_PERCENT,%,MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg]
152024,MDC_CONC_AWAY_DESFL,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
152084,MDC_CONC_AWAY_DESFL_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
